100,900
126,857
172,874
185,922
217,959
266,967
296,927
346,929
396,928
413,881
445,842
491,823
507,775
529,730
542,681
570,639
617,655
642,611
647,561
639,511
595,486
566,444
521,421
480,391
449,351
426,382
427,407
418,417
400,400
434,436
484,436
524,407
572,396
611,427
639,468
654,515
677,559
671,608
698,649
733,684
708,727
710,777
747,810
756,859
797,886
842,906
886,928
889,925
883,895
900,900
852,884
815,849
823,799
774,787
773,737
789,689
781,639
732,624
682,620
644,585
605,553
565,583
528,617
481,636
492,630
502,602
500,600
543,574
554,525
594,496
616,451
665,443
713,429
750,395
797,377
847,380
879,417
929,412
979,415
978,365
980,315
989,265
949,234
923,190
944,144
953,125
906,106
